,Maxsulot,Narx,Bozor nomlari,Sana
53,Пиёз,3607.8472,Шаҳар бўйича ўртача,2022-09-21
54,Турп,NULL,Шаҳар бўйича ўртача,2022-09-21
55,Картошка,4141.6667,Шаҳар бўйича ўртача,2022-09-21
56,Ловия,16171.6931,Шаҳар бўйича ўртача,2022-09-21
57,Нўхат,21223.4127,Шаҳар бўйича ўртача,2022-09-21
58,Мош,15707.9365,Шаҳар бўйича ўртача,2022-09-21
59,Шакар,13571.3294,Шаҳар бўйича ўртача,2022-09-21
60,Болалар маҳсус озуқаси,157758.667,Шаҳар бўйича ўртача,2022-09-21
61,Туз,2897.5496,Шаҳар бўйича ўртача,2022-09-21
62,Гуруч,13555.5556,Фарҳод  бозори,2022-09-21
63,Манний ёрмаси,10720,Фарҳод  бозори,2022-09-21
64,Арпа,NULL,Фарҳод  бозори,2022-09-21
65,Буғдой,5830,Фарҳод  бозори,2022-09-21
66,Жўхори,6000,Фарҳод  бозори,2022-09-21
67,Кепак,NULL,Фарҳод  бозори,2022-09-21
68,Шрот,NULL,Фарҳод  бозори,2022-09-21
69,Шулха,NULL,Фарҳод  бозори,2022-09-21
70,Комбикорм,NULL,Фарҳод  бозори,2022-09-21
71,Олий навли буғдой уни,9472.2222,Фарҳод  бозори,2022-09-21
72,Олий навли буғдой уни (маҳаллий),9562.5,Фарҳод  бозори,2022-09-21
73,Олий навли буғдой уни (импорт),9400,Фарҳод  бозори,2022-09-21
74,Биринчи навли буғдой уни,7511.7647,Фарҳод  бозори,2022-09-21
75,Биринчи навли буғдой уни (маҳаллий),7142.8571,Фарҳод  бозори,2022-09-21
76,Биринчи навли буғдой  уни (импорт),7770,Фарҳод  бозори,2022-09-21
77,Биринчи навли ундан қолипли нон (1 дона),4666.7,Фарҳод  бозори,2022-09-21
78,Жавдар нони,21914.2857,Фарҳод  бозори,2022-09-21
79,Макарон,12244.4444,Фарҳод  бозори,2022-09-21
80,Мол гўшти,77368.4211,Фарҳод  бозори,2022-09-21
81,Қўй гўшти,72200,Фарҳод  бозори,2022-09-21
82,Парранда гўшти,33722.2222,Фарҳод  бозори,2022-09-21
83,Қуён гўшти,75375,Фарҳод  бозори,2022-09-21
84,Балиқ,NULL,Фарҳод  бозори,2022-09-21
85,"Сут, 1 литр",9400,Фарҳод  бозори,2022-09-21
86,Сут ва қатиқ махсулотлари,10263.1579,Фарҳод  бозори,2022-09-21
87,Ўсимлик ёғи,22375.5135,Фарҳод  бозори,2022-09-21
88,"Пахта ёғи, 1 литр",22716.3333,Фарҳод  бозори,2022-09-21
89,"Кунгабоқар ёғи, 1 литр",22052.6316,Фарҳод  бозори,2022-09-21
90,Қаймок,52000,Фарҳод  бозори,2022-09-21
91,Пишлоқ,91444.4444,Фарҳод  бозори,2022-09-21
92,Бринза,40000,Фарҳод  бозори,2022-09-21
93,Творог,20850,Фарҳод  бозори,2022-09-21
94,Сметана,23850,Фарҳод  бозори,2022-09-21
95,"Тухум, 10 донаси",11750,Фарҳод  бозори,2022-09-21
96,Сариёғ,86050,Фарҳод  бозори,2022-09-21
97,Лимон,28000,Фарҳод  бозори,2022-09-21
98,Олма,9000,Фарҳод  бозори,2022-09-21
99,Нок,20625,Фарҳод  бозори,2022-09-21
100,Узум,14500,Фарҳод  бозори,2022-09-21
101,Тарвуз,2177.7778,Фарҳод  бозори,2022-09-21
102,Қовун,2750,Фарҳод  бозори,2022-09-21
103,Кишмиш,56800,Фарҳод  бозори,2022-09-21
104,Туршак (баргак),30555.5556,Фарҳод  бозори,2022-09-21
105,Карам,2987.5,Фарҳод  бозори,2022-09-21
106,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",15588.8889,Фарҳод  бозори,2022-09-21
107,Бодринг,7812.5,Фарҳод  бозори,2022-09-21
108,Помидор,11400,Фарҳод  бозори,2022-09-21
109,Бақлажон,4277.7778,Фарҳод  бозори,2022-09-21
110,Булғор қалампири,8333.3333,Фарҳод  бозори,2022-09-21
111,Қовоқ,3162.5,Фарҳод  бозори,2022-09-21
112,Хўраки лавлаги,4188.8889,Фарҳод  бозори,2022-09-21
113,Сабзи,3955.5556,Фарҳод  бозори,2022-09-21
114,Шолғом,9357.1429,Фарҳод  бозори,2022-09-21
115,Пиёз,4166.6667,Фарҳод  бозори,2022-09-21
116,Турп,NULL,Фарҳод  бозори,2022-09-21
117,Картошка,4400,Фарҳод  бозори,2022-09-21
118,Ловия,15666.6667,Фарҳод  бозори,2022-09-21
119,Нўхат,20500,Фарҳод  бозори,2022-09-21
120,Мош,15857.1429,Фарҳод  бозори,2022-09-21
121,Шакар,13714.2857,Фарҳод  бозори,2022-09-21
122,Болалар маҳсус озуқаси,170385.7143,Фарҳод  бозори,2022-09-21
123,Туз,3112.5,Фарҳод  бозори,2022-09-21
124,Гуруч,11700,Қўйлиқ бозори,2022-09-21
125,Манний ёрмаси,12000,Қўйлиқ бозори,2022-09-21
126,Арпа,4125,Қўйлиқ бозори,2022-09-21
127,Буғдой,5360,Қўйлиқ бозори,2022-09-21
128,Жўхори,4700,Қўйлиқ бозори,2022-09-21
129,Кепак,3160,Қўйлиқ бозори,2022-09-21
130,Шрот,NULL,Қўйлиқ бозори,2022-09-21
131,Шулха,NULL,Қўйлиқ бозори,2022-09-21
132,Комбикорм,4600,Қўйлиқ бозори,2022-09-21
133,Олий навли буғдой уни,8460,Қўйлиқ бозори,2022-09-21
134,Олий навли буғдой уни (маҳаллий),NULL,Қўйлиқ бозори,2022-09-21
135,Олий навли буғдой уни (импорт),8460,Қўйлиқ бозори,2022-09-21
136,Биринчи навли буғдой уни,6880,Қўйлиқ бозори,2022-09-21
137,Биринчи навли буғдой уни (маҳаллий),6900,Қўйлиқ бозори,2022-09-21
138,Биринчи навли буғдой  уни (импорт),6862.5,Қўйлиқ бозори,2022-09-21
139,Биринчи навли ундан қолипли нон (1 дона),4666.67,Қўйлиқ бозори,2022-09-21
140,Жавдар нони,12425,Қўйлиқ бозори,2022-09-21
141,Макарон,12050,Қўйлиқ бозори,2022-09-21
142,Мол гўшти,69775,Қўйлиқ бозори,2022-09-21
143,Қўй гўшти,75300,Қўйлиқ бозори,2022-09-21
144,Парранда гўшти,29750,Қўйлиқ бозори,2022-09-21
145,Қуён гўшти,NULL,Қўйлиқ бозори,2022-09-21
146,Балиқ,28000,Қўйлиқ бозори,2022-09-21
147,"Сут, 1 литр",5900,Қўйлиқ бозори,2022-09-21
148,Сут ва қатиқ махсулотлари,5911.7647,Қўйлиқ бозори,2022-09-21
149,Ўсимлик ёғи,20603.3333,Қўйлиқ бозори,2022-09-21
150,"Пахта ёғи, 1 литр",20130,Қўйлиқ бозори,2022-09-21
151,"Кунгабоқар ёғи, 1 литр",20840,Қўйлиқ бозори,2022-09-21
152,Қаймок,35166.6667,Қўйлиқ бозори,2022-09-21
153,Пишлоқ,62200,Қўйлиқ бозори,2022-09-21
154,Бринза,31428.5714,Қўйлиқ бозори,2022-09-21
155,Творог,21857.1429,Қўйлиқ бозори,2022-09-21
156,Сметана,22166.6667,Қўйлиқ бозори,2022-09-21
157,"Тухум, 10 донаси",10750,Қўйлиқ бозори,2022-09-21
158,Сариёғ,67900,Қўйлиқ бозори,2022-09-21
159,Лимон,19500,Қўйлиқ бозори,2022-09-21
160,Олма,11900,Қўйлиқ бозори,2022-09-21
161,Нок,15900,Қўйлиқ бозори,2022-09-21
162,Узум,11300,Қўйлиқ бозори,2022-09-21
163,Тарвуз,1900,Қўйлиқ бозори,2022-09-21
164,Қовун,2500,Қўйлиқ бозори,2022-09-21
165,Кишмиш,31800,Қўйлиқ бозори,2022-09-21
166,Туршак (баргак),41000,Қўйлиқ бозори,2022-09-21
167,Карам,2450,Қўйлиқ бозори,2022-09-21
168,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",16900,Қўйлиқ бозори,2022-09-21
169,Бодринг,4600,Қўйлиқ бозори,2022-09-21
170,Помидор,7400,Қўйлиқ бозори,2022-09-21
171,Бақлажон,3000,Қўйлиқ бозори,2022-09-21
172,Булғор қалампири,8700,Қўйлиқ бозори,2022-09-21
173,Қовоқ,3000,Қўйлиқ бозори,2022-09-21
174,Хўраки лавлаги,2950,Қўйлиқ бозори,2022-09-21
175,Сабзи,2550,Қўйлиқ бозори,2022-09-21
176,Шолғом,5000,Қўйлиқ бозори,2022-09-21
177,Пиёз,3190,Қўйлиқ бозори,2022-09-21
178,Турп,NULL,Қўйлиқ бозори,2022-09-21
179,Картошка,3670,Қўйлиқ бозори,2022-09-21
180,Ловия,16000,Қўйлиқ бозори,2022-09-21
181,Нўхат,17500,Қўйлиқ бозори,2022-09-21
182,Мош,15100,Қўйлиқ бозори,2022-09-21
183,Шакар,13875,Қўйлиқ бозори,2022-09-21
184,Болалар маҳсус озуқаси,181000,Қўйлиқ бозори,2022-09-21
185,Туз,2650,Қўйлиқ бозори,2022-09-21
186,Гуруч,14600,Наврўз бозори (ТТЗ),2022-09-21
187,Манний ёрмаси,11166.6667,Наврўз бозори (ТТЗ),2022-09-21
188,Арпа,NULL,Наврўз бозори (ТТЗ),2022-09-21
189,Буғдой,5500,Наврўз бозори (ТТЗ),2022-09-21
190,Жўхори,NULL,Наврўз бозори (ТТЗ),2022-09-21
191,Кепак,NULL,Наврўз бозори (ТТЗ),2022-09-21
192,Шрот,NULL,Наврўз бозори (ТТЗ),2022-09-21
193,Шулха,NULL,Наврўз бозори (ТТЗ),2022-09-21
194,Комбикорм,NULL,Наврўз бозори (ТТЗ),2022-09-21
195,Олий навли буғдой уни,8700,Наврўз бозори (ТТЗ),2022-09-21
196,Олий навли буғдой уни (маҳаллий),NULL,Наврўз бозори (ТТЗ),2022-09-21
197,Олий навли буғдой уни (импорт),8700,Наврўз бозори (ТТЗ),2022-09-21
198,Биринчи навли буғдой уни,8200,Наврўз бозори (ТТЗ),2022-09-21
199,Биринчи навли буғдой уни (маҳаллий),NULL,Наврўз бозори (ТТЗ),2022-09-21
200,Биринчи навли буғдой  уни (импорт),8200,Наврўз бозори (ТТЗ),2022-09-21
201,Биринчи навли ундан қолипли нон (1 дона),4666.7,Наврўз бозори (ТТЗ),2022-09-21
202,Жавдар нони,21333.3333,Наврўз бозори (ТТЗ),2022-09-21
203,Макарон,12200,Наврўз бозори (ТТЗ),2022-09-21
204,Мол гўшти,73882.3529,Наврўз бозори (ТТЗ),2022-09-21
205,Қўй гўшти,82000,Наврўз бозори (ТТЗ),2022-09-21
206,Парранда гўшти,33466.6667,Наврўз бозори (ТТЗ),2022-09-21
207,Қуён гўшти,NULL,Наврўз бозори (ТТЗ),2022-09-21
208,Балиқ,25500,Наврўз бозори (ТТЗ),2022-09-21
209,"Сут, 1 литр",7800,Наврўз бозори (ТТЗ),2022-09-21
210,Сут ва қатиқ махсулотлари,9750,Наврўз бозори (ТТЗ),2022-09-21
211,Ўсимлик ёғи,21642.8571,Наврўз бозори (ТТЗ),2022-09-21
212,"Пахта ёғи, 1 литр",20400,Наврўз бозори (ТТЗ),2022-09-21
213,"Кунгабоқар ёғи, 1 литр",22333.3333,Наврўз бозори (ТТЗ),2022-09-21
214,Қаймок,44500,Наврўз бозори (ТТЗ),2022-09-21
215,Пишлоқ,67400,Наврўз бозори (ТТЗ),2022-09-21
216,Бринза,39857.1429,Наврўз бозори (ТТЗ),2022-09-21
217,Творог,26000,Наврўз бозори (ТТЗ),2022-09-21
218,Сметана,24714.2857,Наврўз бозори (ТТЗ),2022-09-21
219,"Тухум, 10 донаси",11562.5,Наврўз бозори (ТТЗ),2022-09-21
220,Сариёғ,66333.3333,Наврўз бозори (ТТЗ),2022-09-21
221,Лимон,22625,Наврўз бозори (ТТЗ),2022-09-21
222,Олма,6900,Наврўз бозори (ТТЗ),2022-09-21
223,Нок,16100,Наврўз бозори (ТТЗ),2022-09-21
224,Узум,12700,Наврўз бозори (ТТЗ),2022-09-21
225,Тарвуз,2166.6667,Наврўз бозори (ТТЗ),2022-09-21
226,Қовун,3400,Наврўз бозори (ТТЗ),2022-09-21
227,Кишмиш,32166.6667,Наврўз бозори (ТТЗ),2022-09-21
228,Туршак (баргак),39222.2222,Наврўз бозори (ТТЗ),2022-09-21
229,Карам,2312.5,Наврўз бозори (ТТЗ),2022-09-21
230,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",19125,Наврўз бозори (ТТЗ),2022-09-21
231,Бодринг,5500,Наврўз бозори (ТТЗ),2022-09-21
232,Помидор,8200,Наврўз бозори (ТТЗ),2022-09-21
233,Бақлажон,4428.5714,Наврўз бозори (ТТЗ),2022-09-21
234,Булғор қалампири,7500,Наврўз бозори (ТТЗ),2022-09-21
235,Қовоқ,4071.4286,Наврўз бозори (ТТЗ),2022-09-21
236,Хўраки лавлаги,4714.2857,Наврўз бозори (ТТЗ),2022-09-21
237,Сабзи,3937.5,Наврўз бозори (ТТЗ),2022-09-21
238,Шолғом,9800,Наврўз бозори (ТТЗ),2022-09-21
239,Пиёз,3800,Наврўз бозори (ТТЗ),2022-09-21
240,Турп,NULL,Наврўз бозори (ТТЗ),2022-09-21
241,Картошка,4050,Наврўз бозори (ТТЗ),2022-09-21
242,Ловия,14250,Наврўз бозори (ТТЗ),2022-09-21
243,Нўхат,25333.3333,Наврўз бозори (ТТЗ),2022-09-21
244,Мош,16071.4286,Наврўз бозори (ТТЗ),2022-09-21
245,Шакар,13200,Наврўз бозори (ТТЗ),2022-09-21
246,Болалар маҳсус озуқаси,132500,Наврўз бозори (ТТЗ),2022-09-21
247,Туз,2785.7143,Наврўз бозори (ТТЗ),2022-09-21
248,Гуруч,14300,Миробод  бозори,2022-09-21
249,Манний ёрмаси,13208.3333,Миробод  бозори,2022-09-21
250,Арпа,NULL,Миробод  бозори,2022-09-21
251,Буғдой,5916.6667,Миробод  бозори,2022-09-21
252,Жўхори,5800,Миробод  бозори,2022-09-21
253,Кепак,5000,Миробод  бозори,2022-09-21
254,Шрот,NULL,Миробод  бозори,2022-09-21
255,Шулха,NULL,Миробод  бозори,2022-09-21
256,Комбикорм,NULL,Миробод  бозори,2022-09-21
257,Олий навли буғдой уни,8575,Миробод  бозори,2022-09-21
258,Олий навли буғдой уни (маҳаллий),7714.2857,Миробод  бозори,2022-09-21
259,Олий навли буғдой уни (импорт),9244.4444,Миробод  бозори,2022-09-21
260,Биринчи навли буғдой уни,7425,Миробод  бозори,2022-09-21
261,Биринчи навли буғдой уни (маҳаллий),6000,Миробод  бозори,2022-09-21
262,Биринчи навли буғдой  уни (импорт),7628.5714,Миробод  бозори,2022-09-21
263,Биринчи навли ундан қолипли нон (1 дона),4666.335,Миробод  бозори,2022-09-21
264,Жавдар нони,15250,Миробод  бозори,2022-09-21
265,Макарон,11500,Миробод  бозори,2022-09-21
266,Мол гўшти,71450,Миробод  бозори,2022-09-21
267,Қўй гўшти,75300,Миробод  бозори,2022-09-21
268,Парранда гўшти,30250,Миробод  бозори,2022-09-21
269,Қуён гўшти,NULL,Миробод  бозори,2022-09-21
270,Балиқ,25500,Миробод  бозори,2022-09-21
271,"Сут, 1 литр",7250,Миробод  бозори,2022-09-21
272,Сут ва қатиқ махсулотлари,8111.1111,Миробод  бозори,2022-09-21
273,Ўсимлик ёғи,22003.5484,Миробод  бозори,2022-09-21
274,"Пахта ёғи, 1 литр",20819.375,Миробод  бозори,2022-09-21
275,"Кунгабоқар ёғи, 1 литр",23266.6667,Миробод  бозори,2022-09-21
276,Қаймок,39250,Миробод  бозори,2022-09-21
277,Пишлоқ,70700,Миробод  бозори,2022-09-21
278,Бринза,33900,Миробод  бозори,2022-09-21
279,Творог,24750,Миробод  бозори,2022-09-21
280,Сметана,23000,Миробод  бозори,2022-09-21
281,"Тухум, 10 донаси",11300,Миробод  бозори,2022-09-21
282,Сариёғ,70700,Миробод  бозори,2022-09-21
283,Лимон,19000,Миробод  бозори,2022-09-21
284,Олма,12000,Миробод  бозори,2022-09-21
285,Нок,21000,Миробод  бозори,2022-09-21
286,Узум,15750,Миробод  бозори,2022-09-21
287,Тарвуз,2000,Миробод  бозори,2022-09-21
288,Қовун,3750,Миробод  бозори,2022-09-21
289,Кишмиш,61000,Миробод  бозори,2022-09-21
290,Туршак (баргак),59500,Миробод  бозори,2022-09-21
291,Карам,2833.3333,Миробод  бозори,2022-09-21
292,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",15700,Миробод  бозори,2022-09-21
293,Бодринг,7111.1111,Миробод  бозори,2022-09-21
294,Помидор,11400,Миробод  бозори,2022-09-21
295,Бақлажон,4714.2857,Миробод  бозори,2022-09-21
296,Булғор қалампири,7000,Миробод  бозори,2022-09-21
297,Қовоқ,3000,Миробод  бозори,2022-09-21
298,Хўраки лавлаги,5000,Миробод  бозори,2022-09-21
299,Сабзи,3500,Миробод  бозори,2022-09-21
300,Шолғом,11000,Миробод  бозори,2022-09-21
301,Пиёз,3416.6667,Миробод  бозори,2022-09-21
302,Турп,NULL,Миробод  бозори,2022-09-21
303,Картошка,4650,Миробод  бозори,2022-09-21
304,Ловия,15571.4286,Миробод  бозори,2022-09-21
305,Нўхат,22000,Миробод  бозори,2022-09-21
306,Мош,15666.6667,Миробод  бозори,2022-09-21
307,Шакар,12000,Миробод  бозори,2022-09-21
308,Болалар маҳсус озуқаси,114009.5,Миробод  бозори,2022-09-21
309,Туз,2750,Миробод  бозори,2022-09-21
310,Гуруч,13900,Эски-Жўва бозори,2022-09-21
311,Манний ёрмаси,9700,Эски-Жўва бозори,2022-09-21
312,Арпа,NULL,Эски-Жўва бозори,2022-09-21
313,Буғдой,5490,Эски-Жўва бозори,2022-09-21
314,Жўхори,5400,Эски-Жўва бозори,2022-09-21
315,Кепак,NULL,Эски-Жўва бозори,2022-09-21
316,Шрот,NULL,Эски-Жўва бозори,2022-09-21
317,Шулха,NULL,Эски-Жўва бозори,2022-09-21
318,Комбикорм,NULL,Эски-Жўва бозори,2022-09-21
319,Олий навли буғдой уни,8690,Эски-Жўва бозори,2022-09-21
320,Олий навли буғдой уни (маҳаллий),8460,Эски-Жўва бозори,2022-09-21
321,Олий навли буғдой уни (импорт),8920,Эски-Жўва бозори,2022-09-21
322,Биринчи навли буғдой уни,7680,Эски-Жўва бозори,2022-09-21
323,Биринчи навли буғдой уни (маҳаллий),NULL,Эски-Жўва бозори,2022-09-21
324,Биринчи навли буғдой  уни (импорт),7680,Эски-Жўва бозори,2022-09-21
325,Биринчи навли ундан қолипли нон (1 дона),4666.67,Эски-Жўва бозори,2022-09-21
326,Жавдар нони,19520,Эски-Жўва бозори,2022-09-21
327,Макарон,10600,Эски-Жўва бозори,2022-09-21
328,Мол гўшти,70300,Эски-Жўва бозори,2022-09-21
329,Қўй гўшти,71400,Эски-Жўва бозори,2022-09-21
330,Парранда гўшти,29010,Эски-Жўва бозори,2022-09-21
331,Қуён гўшти,NULL,Эски-Жўва бозори,2022-09-21
332,Балиқ,NULL,Эски-Жўва бозори,2022-09-21
333,"Сут, 1 литр",6150,Эски-Жўва бозори,2022-09-21
334,Сут ва қатиқ махсулотлари,6025,Эски-Жўва бозори,2022-09-21
335,Ўсимлик ёғи,20416.6667,Эски-Жўва бозори,2022-09-21
336,"Пахта ёғи, 1 литр",20000,Эски-Жўва бозори,2022-09-21
337,"Кунгабоқар ёғи, 1 литр",20750,Эски-Жўва бозори,2022-09-21
338,Қаймок,42000,Эски-Жўва бозори,2022-09-21
339,Пишлоқ,67150,Эски-Жўва бозори,2022-09-21
340,Бринза,33300,Эски-Жўва бозори,2022-09-21
341,Творог,22500,Эски-Жўва бозори,2022-09-21
342,Сметана,40400,Эски-Жўва бозори,2022-09-21
343,"Тухум, 10 донаси",11444.4444,Эски-Жўва бозори,2022-09-21
344,Сариёғ,72000,Эски-Жўва бозори,2022-09-21
345,Лимон,27200,Эски-Жўва бозори,2022-09-21
346,Олма,12100,Эски-Жўва бозори,2022-09-21
347,Нок,18050,Эски-Жўва бозори,2022-09-21
348,Узум,12350,Эски-Жўва бозори,2022-09-21
349,Тарвуз,1930,Эски-Жўва бозори,2022-09-21
350,Қовун,2250,Эски-Жўва бозори,2022-09-21
351,Кишмиш,53700,Эски-Жўва бозори,2022-09-21
352,Туршак (баргак),47800,Эски-Жўва бозори,2022-09-21
353,Карам,2090,Эски-Жўва бозори,2022-09-21
354,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",13900,Эски-Жўва бозори,2022-09-21
355,Бодринг,7450,Эски-Жўва бозори,2022-09-21
356,Помидор,8500,Эски-Жўва бозори,2022-09-21
357,Бақлажон,3850,Эски-Жўва бозори,2022-09-21
358,Булғор қалампири,10800,Эски-Жўва бозори,2022-09-21
359,Қовоқ,2350,Эски-Жўва бозори,2022-09-21
360,Хўраки лавлаги,5000,Эски-Жўва бозори,2022-09-21
361,Сабзи,3050,Эски-Жўва бозори,2022-09-21
362,Шолғом,7900,Эски-Жўва бозори,2022-09-21
363,Пиёз,2800,Эски-Жўва бозори,2022-09-21
364,Турп,NULL,Эски-Жўва бозори,2022-09-21
365,Картошка,4100,Эски-Жўва бозори,2022-09-21
366,Ловия,15550,Эски-Жўва бозори,2022-09-21
367,Нўхат,21200,Эски-Жўва бозори,2022-09-21
368,Мош,15500,Эски-Жўва бозори,2022-09-21
369,Шакар,13700,Эски-Жўва бозори,2022-09-21
370,Болалар маҳсус озуқаси,160993.4,Эски-Жўва бозори,2022-09-21
371,Туз,2790,Эски-Жўва бозори,2022-09-21
372,Гуруч,14000,Қорақамиш  бозори,2022-09-21
373,Манний ёрмаси,13500,Қорақамиш  бозори,2022-09-21
374,Арпа,NULL,Қорақамиш  бозори,2022-09-21
375,Буғдой,5500,Қорақамиш  бозори,2022-09-21
376,Жўхори,NULL,Қорақамиш  бозори,2022-09-21
377,Кепак,NULL,Қорақамиш  бозори,2022-09-21
378,Шрот,NULL,Қорақамиш  бозори,2022-09-21
379,Шулха,NULL,Қорақамиш  бозори,2022-09-21
380,Комбикорм,NULL,Қорақамиш  бозори,2022-09-21
381,Олий навли буғдой уни,9209.0909,Қорақамиш  бозори,2022-09-21
382,Олий навли буғдой уни (маҳаллий),8275,Қорақамиш  бозори,2022-09-21
383,Олий навли буғдой уни (импорт),9742.8571,Қорақамиш  бозори,2022-09-21
384,Биринчи навли буғдой уни,6300,Қорақамиш  бозори,2022-09-21
385,Биринчи навли буғдой уни (маҳаллий),5400,Қорақамиш  бозори,2022-09-21
386,Биринчи навли буғдой  уни (импорт),7020,Қорақамиш  бозори,2022-09-21
387,Биринчи навли ундан қолипли нон (1 дона),4666.67,Қорақамиш  бозори,2022-09-21
388,Жавдар нони,18000,Қорақамиш  бозори,2022-09-21
389,Макарон,12142.8571,Қорақамиш  бозори,2022-09-21
390,Мол гўшти,66052.6316,Қорақамиш  бозори,2022-09-21
391,Қўй гўшти,71300,Қорақамиш  бозори,2022-09-21
392,Парранда гўшти,38333.3333,Қорақамиш  бозори,2022-09-21
393,Қуён гўшти,NULL,Қорақамиш  бозори,2022-09-21
394,Балиқ,28500,Қорақамиш  бозори,2022-09-21
395,"Сут, 1 литр",11250,Қорақамиш  бозори,2022-09-21
396,Сут ва қатиқ махсулотлари,11041.6667,Қорақамиш  бозори,2022-09-21
397,Ўсимлик ёғи,23750,Қорақамиш  бозори,2022-09-21
398,"Пахта ёғи, 1 литр",18500,Қорақамиш  бозори,2022-09-21
399,"Кунгабоқар ёғи, 1 литр",25500,Қорақамиш  бозори,2022-09-21
400,Қаймок,44857.1429,Қорақамиш  бозори,2022-09-21
